State,District,Crop,Season,Area_ha,Annual_Rainfall_mm,Temperature_C,Soil_pH,Fertilizer_kg_per_ha,Pesticide_kg_per_ha,Yield_ton_per_ha
Karnataka,Mysuru,Sugarcane,Whole Year,34.65,1019.0,26.6,7.06,105.1,3.35,13.0
Rajasthan,Jaipur,Barley,Rabi,504.75,457.6,32.9,7.43,50.0,0.48,3.887
Gujarat,Surat,Mustard,Rabi,9.68,532.4,15.9,8.0,172.2,0.29,4.358
Tamil Nadu,Madurai,Groundnut,Kharif,636.86,916.6,36.4,6.78,149.9,9.98,6.244
Assam,Nagaon,Soybean,Kharif,229.55,2466.2,20.6,6.98,114.6,0.67,7.164
Jharkhand,Dhanbad,Maize,Kharif,440.35,1021.2,32.4,5.09,130.8,2.75,8.496
Andhra Pradesh,Krishna,Groundnut,Kharif,219.62,592.8,32.4,6.51,87.8,1.7,4.584
Andhra Pradesh,Kurnool,Chickpea,Rabi,96.3,1056.3,32.3,6.89,157.5,1.4,3.602
Bihar,Gaya,Wheat,Rabi,239.41,1161.3,26.2,7.24,203.7,0.16,9.861
Tamil Nadu,Thanjavur,Cotton,Kharif,132.25,996.9,35.5,6.02,185.5,0.76,5.685
Haryana,Hisar,Sugarcane,Whole Year,204.16,543.5,19.6,7.35,199.4,11.21,13.0
Assam,Jorhat,Wheat,Rabi,89.01,2549.9,30.4,6.22,146.2,0.12,8.944
Haryana,Karnal,Sugarcane,Whole Year,525.21,655.2,16.0,7.24,133.1,2.93,12.795
Maharashtra,Pune,Maize,Kharif,384.97,905.1,38.2,7.16,163.5,0.1,8.414
Rajasthan,Jodhpur,Rice,Kharif,137.46,276.7,20.6,7.82,105.6,2.43,5.702
Andhra Pradesh,Guntur,Mustard,Rabi,39.29,933.4,32.8,7.01,79.2,4.99,3.702
Bihar,Gaya,Sugarcane,Whole Year,187.18,1436.1,24.3,5.9,154.9,1.6,13.0
Haryana,Karnal,Cotton,Kharif,169.52,442.6,26.1,6.89,174.7,3.94,4.4
Haryana,Hisar,Cotton,Kharif,26.33,417.5,26.8,7.76,203.3,2.01,5.242
Andhra Pradesh,Guntur,Barley,Rabi,31.23,774.2,24.3,6.77,109.6,0.22,5.437
Jharkhand,Ranchi,Cotton,Kharif,506.91,1067.1,34.0,5.58,104.7,5.1,5.082
Uttar Pradesh,Kanpur,Groundnut,Kharif,98.9,778.9,26.6,7.26,165.3,0.97,6.127
Punjab,Patiala,Sugarcane,Whole Year,48.04,646.8,21.9,7.32,164.2,3.26,13.0
Bihar,Gaya,Groundnut,Kharif,8.91,1006.3,20.1,7.4,59.3,1.58,5.026
Andhra Pradesh,Krishna,Rice,Kharif,504.3,727.1,31.1,6.26,113.7,4.99,7.769
Madhya Pradesh,Indore,Rice,Kharif,78.3,955.0,26.5,7.6,148.9,5.3,9.895
Karnataka,Raichur,Chickpea,Rabi,141.2,921.9,25.8,6.87,167.1,11.03,4.108
Andhra Pradesh,Guntur,Rice,Kharif,184.58,957.3,29.2,6.55,141.8,3.88,9.49
Assam,Kamrup,Groundnut,Kharif,107.08,2185.9,25.3,4.81,96.0,3.34,6.25
Andhra Pradesh,Krishna,Chickpea,Rabi,11.03,932.8,28.0,6.99,155.6,3.27,3.516
Jharkhand,Hazaribag,Barley,Rabi,74.28,1480.6,29.1,5.31,127.6,2.28,6.754
West Bengal,Nadia,Sugarcane,Whole Year,20.61,1533.7,25.3,6.63,187.6,1.7,13.0
Madhya Pradesh,Indore,Wheat,Rabi,79.96,802.3,37.0,6.99,83.8,10.27,5.507
Madhya Pradesh,Indore,Cotton,Kharif,445.69,952.9,16.3,6.96,46.3,0.59,3.466
Jharkhand,Hazaribag,Cotton,Kharif,19.55,1187.8,32.9,6.68,92.3,7.49,5.444
Assam,Jorhat,Wheat,Rabi,155.47,2327.4,21.5,6.27,110.7,2.08,8.775
Rajasthan,Jodhpur,Sugarcane,Whole Year,135.66,262.8,33.8,6.52,30.1,2.69,9.114
Rajasthan,Bikaner,Cotton,Kharif,761.2,343.5,30.6,7.71,37.5,0.6,2.744
Madhya Pradesh,Jabalpur,Sugarcane,Whole Year,387.07,695.9,33.2,6.83,98.7,2.41,12.737
Assam,Nagaon,Maize,Kharif,281.4,2389.1,35.3,6.09,94.5,1.74,9.417
Rajasthan,Bikaner,Sugarcane,Whole Year,316.94,347.1,30.3,8.2,91.3,1.96,10.714
Odisha,Cuttack,Chickpea,Rabi,7.59,1495.1,29.3,5.41,90.7,3.73,3.697
Karnataka,Mysuru,Groundnut,Kharif,211.25,968.9,19.2,6.27,95.9,0.57,5.3
Tamil Nadu,Madurai,Soybean,Kharif,188.58,1118.9,29.3,6.18,121.1,5.61,6.309
Karnataka,Raichur,Barley,Rabi,92.49,891.6,30.8,6.87,162.2,0.74,6.478
Jharkhand,Ranchi,Mustard,Rabi,105.69,1442.5,32.3,5.6,130.9,0.8,5.647
West Bengal,Nadia,Groundnut,Kharif,170.6,1759.6,30.2,6.18,212.6,1.63,8.205
Maharashtra,Nashik,Barley,Rabi,345.75,1239.5,28.1,6.23,144.9,2.41,7.057
Uttar Pradesh,Varanasi,Soybean,Kharif,54.58,976.6,23.2,8.19,164.8,4.29,5.764
Gujarat,Ahmedabad,Mustard,Rabi,309.59,511.4,25.5,7.58,193.0,2.25,5.447
Madhya Pradesh,Bhopal,Barley,Rabi,31.97,1013.0,25.2,7.68,87.1,4.93,5.534
Assam,Kamrup,Maize,Kharif,579.33,2325.4,30.2,5.14,72.7,3.44,8.699
Rajasthan,Jaipur,Sugarcane,Whole Year,245.47,283.7,28.9,7.64,149.9,1.36,11.525
Bihar,Gaya,Mustard,Rabi,355.58,1267.3,30.0,6.98,96.9,6.99,5.046
Odisha,Puri,Wheat,Rabi,130.72,1451.6,30.9,5.98,70.1,1.37,7.803
West Bengal,Murshidabad,Rice,Kharif,109.87,1711.2,32.5,5.99,144.6,2.89,11.628
Andhra Pradesh,Kurnool,Mustard,Rabi,85.41,1012.9,33.1,6.89,119.6,2.65,5.066
Andhra Pradesh,Guntur,Groundnut,Kharif,75.1,1180.3,25.0,7.1,136.7,15.15,6.187
Madhya Pradesh,Bhopal,Cotton,Kharif,68.05,797.2,17.2,6.43,125.2,14.38,3.951
Andhra Pradesh,Guntur,Maize,Kharif,130.23,1042.6,33.3,6.35,164.1,1.66,9.008
Odisha,Cuttack,Soybean,Kharif,158.55,1397.6,32.6,6.02,110.1,1.91,6.479
Rajasthan,Bikaner,Mustard,Rabi,110.18,375.9,28.3,7.41,102.7,0.87,3.358
Karnataka,Dharwad,Mustard,Rabi,395.06,842.7,28.5,6.94,170.4,13.07,5.439
Punjab,Patiala,Mustard,Rabi,467.44,709.6,24.6,7.41,197.4,4.81,5.714
Bihar,Muzaffarpur,Soybean,Kharif,98.42,767.8,29.4,7.17,139.7,3.49,5.2
Tamil Nadu,Coimbatore,Mustard,Rabi,95.0,1071.4,30.2,6.43,150.9,5.94,5.675
Andhra Pradesh,Guntur,Soybean,Kharif,114.53,1045.0,30.1,6.92,168.3,1.71,5.996
Punjab,Amritsar,Soybean,Kharif,108.56,546.6,20.9,7.6,217.3,4.2,5.399
Jharkhand,Hazaribag,Groundnut,Kharif,99.37,1194.0,30.3,5.86,95.1,4.34,6.421
Haryana,Hisar,Chickpea,Rabi,50.64,582.7,31.5,7.02,198.0,0.85,3.241
Odisha,Cuttack,Rice,Kharif,65.64,1791.9,29.3,5.09,143.0,1.46,11.29
Maharashtra,Nashik,Sugarcane,Whole Year,149.75,846.4,34.7,6.94,127.0,6.04,13.0
Karnataka,Dharwad,Groundnut,Kharif,777.11,797.2,25.9,6.73,74.7,0.23,4.961
Karnataka,Dharwad,Mustard,Rabi,326.03,677.2,25.0,6.21,156.9,2.08,5.217
West Bengal,Murshidabad,Wheat,Rabi,598.73,1407.5,19.6,6.97,186.4,6.82,10.808
Bihar,Gaya,Wheat,Rabi,59.99,809.1,16.8,7.45,58.2,1.29,5.89
Maharashtra,Nashik,Rice,Kharif,627.93,518.0,35.0,6.45,119.1,4.73,7.276
Rajasthan,Jaipur,Rice,Kharif,225.99,239.5,29.8,8.1,119.3,1.78,5.904
Haryana,Hisar,Maize,Kharif,168.1,407.2,32.1,6.93,228.0,3.32,9.002
Gujarat,Rajkot,Maize,Kharif,15.52,783.5,36.7,7.08,92.5,1.18,6.605
Assam,Nagaon,Chickpea,Rabi,174.71,2070.7,23.8,6.07,94.4,8.82,4.583
Punjab,Patiala,Cotton,Kharif,25.38,745.8,20.3,7.45,288.7,3.2,6.263
Tamil Nadu,Thanjavur,Barley,Rabi,66.07,748.2,28.8,6.76,168.5,0.35,6.117
Madhya Pradesh,Indore,Mustard,Rabi,209.43,855.4,20.3,6.89,60.0,2.19,4.193
Assam,Kamrup,Chickpea,Rabi,16.7,2348.4,24.8,5.52,69.2,9.03,4.034
Uttar Pradesh,Kanpur,Barley,Rabi,104.37,970.3,29.5,6.53,191.9,0.75,7.276
Andhra Pradesh,Guntur,Mustard,Rabi,339.81,1058.3,29.4,7.04,143.2,14.51,5.458
Karnataka,Mysuru,Sugarcane,Whole Year,255.34,904.5,31.2,7.2,91.8,1.22,13.0
Bihar,Patna,Soybean,Kharif,85.85,1100.4,30.7,6.44,148.5,2.92,6.293
Uttar Pradesh,Agra,Wheat,Rabi,81.9,906.0,19.1,6.31,245.6,5.17,10.289
Andhra Pradesh,Kurnool,Groundnut,Kharif,78.62,1116.8,35.1,6.44,114.2,2.97,5.904
Uttar Pradesh,Agra,Sugarcane,Whole Year,188.36,1074.5,23.2,7.37,150.4,5.95,13.0
Gujarat,Rajkot,Maize,Kharif,87.77,614.8,28.5,6.83,176.6,13.15,8.57
Madhya Pradesh,Bhopal,Soybean,Kharif,144.8,664.2,35.3,5.98,173.9,4.26,5.186
West Bengal,Murshidabad,Mustard,Rabi,255.89,1348.2,26.7,4.74,119.3,10.7,5.169
Bihar,Patna,Mustard,Rabi,12.98,1150.3,32.9,7.18,160.8,3.11,5.701
Maharashtra,Nashik,Barley,Rabi,99.01,919.1,23.3,6.4,89.2,1.29,5.691
Uttar Pradesh,Agra,Mustard,Rabi,25.18,1118.1,31.3,6.38,168.8,1.21,5.475
Bihar,Gaya,Rice,Kharif,37.59,746.1,30.9,7.25,148.3,2.11,8.121
Andhra Pradesh,Guntur,Maize,Kharif,237.0,755.2,27.6,6.92,157.0,1.57,8.457
Tamil Nadu,Thanjavur,Soybean,Kharif,53.69,1056.3,28.0,6.68,167.0,3.2,6.376
Bihar,Muzaffarpur,Groundnut,Kharif,39.8,1243.6,23.6,6.39,185.1,1.73,7.425
Andhra Pradesh,Krishna,Maize,Kharif,139.96,904.0,28.7,6.2,73.7,4.96,6.971
Assam,Kamrup,Chickpea,Rabi,28.8,1840.8,27.2,5.11,143.6,0.63,4.154
Karnataka,Mysuru,Rice,Kharif,155.57,973.4,28.9,7.05,107.3,1.39,8.621
Jharkhand,Hazaribag,Rice,Kharif,222.65,1021.9,34.9,5.5,79.7,2.52,7.943
Andhra Pradesh,Kurnool,Maize,Kharif,168.04,1101.9,23.6,6.82,141.3,5.16,8.679
Jharkhand,Dhanbad,Cotton,Kharif,52.99,1288.0,23.2,5.12,85.5,1.95,4.655
Assam,Kamrup,Groundnut,Kharif,543.42,2111.9,31.7,5.33,108.7,0.9,6.204
Gujarat,Rajkot,Barley,Rabi,214.27,755.4,22.6,7.15,156.3,3.17,6.217
Madhya Pradesh,Jabalpur,Mustard,Rabi,82.72,948.0,24.9,6.53,129.4,0.57,4.766
Rajasthan,Bikaner,Soybean,Kharif,677.51,592.6,23.1,6.7,108.8,1.4,4.435
Odisha,Puri,Sugarcane,Whole Year,9.78,1067.0,23.6,6.53,67.5,1.41,13.0
Haryana,Hisar,Cotton,Kharif,44.55,458.9,21.8,6.96,222.0,2.26,4.738
West Bengal,Nadia,Groundnut,Kharif,178.98,1499.1,32.7,6.77,138.5,7.44,6.885
Assam,Nagaon,Rice,Kharif,105.79,2186.4,31.9,5.17,127.8,0.3,10.715
Bihar,Patna,Wheat,Rabi,190.15,1102.0,27.5,7.28,185.2,1.78,9.105
Maharashtra,Pune,Rice,Kharif,5.56,1216.8,35.5,7.63,138.4,8.5,9.794
Uttar Pradesh,Kanpur,Rice,Kharif,139.64,787.8,31.4,7.0,188.7,8.99,9.226
Gujarat,Surat,Rice,Kharif,397.3,520.1,30.8,7.86,89.2,2.73,6.751
Tamil Nadu,Thanjavur,Soybean,Kharif,285.64,1019.8,26.0,6.93,167.0,8.39,6.896
West Bengal,Burdwan,Barley,Rabi,330.56,1622.0,27.5,6.84,125.3,2.43,7.769
Bihar,Muzaffarpur,Chickpea,Rabi,168.29,1066.7,23.0,5.7,157.3,2.14,4.5
Uttar Pradesh,Varanasi,Rice,Kharif,192.63,840.0,34.3,7.6,103.6,2.07,8.234
Madhya Pradesh,Indore,Maize,Kharif,89.18,892.9,18.9,7.29,113.7,9.68,7.914
Rajasthan,Jodhpur,Groundnut,Kharif,30.79,345.4,31.4,7.35,126.5,4.53,4.122
Jharkhand,Ranchi,Mustard,Rabi,769.13,1350.3,24.6,5.19,150.4,0.98,6.165
Odisha,Sambalpur,Mustard,Rabi,134.27,1424.7,25.9,5.22,91.6,0.4,5.07
West Bengal,Nadia,Maize,Kharif,279.86,1310.9,25.9,6.93,160.4,4.44,10.952
Maharashtra,Nashik,Groundnut,Kharif,129.41,1005.5,27.9,7.02,134.1,0.38,6.088
Jharkhand,Ranchi,Sugarcane,Whole Year,270.52,1265.9,30.6,6.12,72.8,7.63,13.0
Punjab,Ludhiana,Mustard,Rabi,97.67,521.3,32.3,6.86,96.4,3.84,3.442
Jharkhand,Dhanbad,Sugarcane,Whole Year,977.64,1383.5,20.7,6.57,131.7,1.71,13.0
Bihar,Muzaffarpur,Chickpea,Rabi,17.7,1021.5,27.3,6.16,75.1,4.52,3.499
Assam,Jorhat,Mustard,Rabi,51.27,1638.6,24.5,5.81,64.8,0.1,4.422
Odisha,Sambalpur,Maize,Kharif,145.84,1186.4,31.4,6.1,58.2,4.93,7.741
Odisha,Puri,Sugarcane,Whole Year,196.54,1061.2,31.2,6.33,96.1,1.78,13.0
Madhya Pradesh,Indore,Cotton,Kharif,706.13,706.7,32.6,7.68,78.8,2.74,4.741
Haryana,Rohtak,Groundnut,Kharif,235.09,548.1,24.3,6.81,240.8,3.77,6.371
Uttar Pradesh,Kanpur,Groundnut,Kharif,818.73,801.9,24.4,7.74,136.1,1.97,5.504
Madhya Pradesh,Bhopal,Rice,Kharif,141.28,1091.2,28.5,6.59,128.7,5.31,10.436
Madhya Pradesh,Indore,Maize,Kharif,166.14,1041.6,25.4,6.36,65.8,3.85,7.877
Madhya Pradesh,Indore,Wheat,Rabi,212.34,994.6,30.9,6.5,119.4,0.7,7.413
Madhya Pradesh,Jabalpur,Rice,Kharif,8.26,1015.2,36.0,7.12,108.5,1.55,8.621
Maharashtra,Nagpur,Wheat,Rabi,58.14,861.0,31.3,6.24,139.3,2.15,7.666
Odisha,Puri,Mustard,Rabi,74.87,1226.6,30.7,6.03,160.3,3.29,5.861
Andhra Pradesh,Kurnool,Rice,Kharif,65.81,816.0,30.9,7.02,108.9,2.51,8.514
Punjab,Patiala,Mustard,Rabi,510.19,497.7,24.4,7.48,189.9,4.03,5.162
Haryana,Hisar,Sugarcane,Whole Year,78.99,480.4,18.1,7.64,230.7,3.82,13.0
Odisha,Sambalpur,Barley,Rabi,294.89,1665.4,26.9,5.88,129.0,5.71,7.278
Haryana,Rohtak,Sugarcane,Whole Year,184.45,562.3,17.5,8.08,228.9,3.67,13.0
Tamil Nadu,Coimbatore,Barley,Rabi,137.72,1116.0,29.6,7.05,168.2,1.88,7.116
Andhra Pradesh,Kurnool,Wheat,Rabi,56.6,714.6,27.3,6.25,165.0,1.97,8.03
Haryana,Rohtak,Cotton,Kharif,171.21,380.4,28.9,7.37,187.4,5.39,5.25
Punjab,Amritsar,Barley,Rabi,46.6,732.2,12.6,7.51,217.3,0.25,7.149
Tamil Nadu,Thanjavur,Wheat,Rabi,7.35,629.5,30.2,6.31,164.4,4.66,7.507
Rajasthan,Bikaner,Wheat,Rabi,23.45,317.1,41.1,8.36,139.3,6.41,5.98
Karnataka,Mysuru,Groundnut,Kharif,556.18,980.3,29.7,6.55,66.7,4.59,5.426
Maharashtra,Pune,Barley,Rabi,348.99,802.2,28.0,6.87,182.8,0.68,7.025
Rajasthan,Jodhpur,Maize,Kharif,11.45,535.5,36.5,7.91,127.1,0.86,6.705
Tamil Nadu,Thanjavur,Barley,Rabi,373.78,1030.6,29.9,6.13,165.7,3.64,7.144
Uttar Pradesh,Varanasi,Soybean,Kharif,195.19,982.2,21.5,6.45,183.4,2.64,6.336
Maharashtra,Nashik,Chickpea,Rabi,465.08,947.3,32.8,6.25,130.9,4.85,3.714
West Bengal,Burdwan,Soybean,Kharif,521.98,1679.0,37.8,6.02,193.0,11.36,7.463
Odisha,Sambalpur,Groundnut,Kharif,535.48,1472.2,30.1,5.72,20.9,3.88,5.671
Odisha,Cuttack,Chickpea,Rabi,48.68,1109.8,17.5,5.67,77.2,2.69,3.33
Odisha,Sambalpur,Groundnut,Kharif,7.28,1336.9,31.3,5.27,70.5,1.15,5.422
Tamil Nadu,Coimbatore,Chickpea,Rabi,318.13,1029.3,32.3,6.19,202.5,1.2,3.779
Bihar,Muzaffarpur,Soybean,Kharif,190.28,1189.7,16.4,6.3,75.8,2.36,5.663
Maharashtra,Nagpur,Mustard,Rabi,190.91,1339.1,32.0,5.95,115.3,0.1,4.892
Tamil Nadu,Madurai,Groundnut,Kharif,55.09,975.7,31.9,6.15,155.4,5.22,6.154
Assam,Jorhat,Sugarcane,Whole Year,15.32,2004.7,22.5,6.18,134.1,8.03,13.0
Madhya Pradesh,Indore,Wheat,Rabi,23.54,907.4,30.0,6.76,136.6,2.42,7.832
Rajasthan,Bikaner,Groundnut,Kharif,28.84,458.0,32.9,7.71,127.2,4.62,4.832
Karnataka,Raichur,Barley,Rabi,130.12,796.4,23.2,6.33,162.0,2.92,6.859
Rajasthan,Jaipur,Wheat,Rabi,21.63,365.4,30.1,8.45,68.2,3.54,4.612
Gujarat,Surat,Soybean,Kharif,121.53,802.4,18.6,7.25,108.8,2.71,4.997
Tamil Nadu,Coimbatore,Chickpea,Rabi,5.29,1074.7,29.4,6.19,133.4,0.29,3.726
Odisha,Puri,Sugarcane,Whole Year,62.13,1280.2,24.8,5.25,147.1,5.88,13.0
Assam,Kamrup,Mustard,Rabi,183.72,2584.9,24.6,5.43,20.0,0.31,4.192
Karnataka,Mysuru,Wheat,Rabi,120.05,881.8,23.9,6.92,126.7,8.01,7.753
Rajasthan,Bikaner,Maize,Kharif,27.69,196.4,39.4,7.53,157.4,1.83,5.962
Maharashtra,Nagpur,Sugarcane,Whole Year,23.54,939.5,30.0,7.16,137.4,3.13,13.0
Tamil Nadu,Thanjavur,Groundnut,Kharif,362.36,1081.3,28.5,6.72,106.0,2.54,6.316
Bihar,Patna,Sugarcane,Whole Year,28.77,1474.5,27.0,6.59,127.7,1.36,13.0
Jharkhand,Hazaribag,Soybean,Kharif,366.01,1170.3,29.2,6.22,83.2,3.89,6.024
Madhya Pradesh,Bhopal,Maize,Kharif,34.89,1127.5,25.7,6.85,113.2,8.33,8.341
Uttar Pradesh,Varanasi,Wheat,Rabi,90.58,1001.3,29.6,7.73,175.2,5.28,8.516
Odisha,Puri,Chickpea,Rabi,124.21,1397.1,31.5,6.11,151.5,2.63,4.533
Andhra Pradesh,Kurnool,Groundnut,Kharif,144.06,700.8,34.9,6.39,151.8,7.35,5.323
Gujarat,Surat,Maize,Kharif,138.22,621.6,24.9,7.0,147.6,1.0,7.904
Andhra Pradesh,Guntur,Sugarcane,Whole Year,138.81,824.3,31.9,6.5,122.6,0.79,13.0
Karnataka,Raichur,Rice,Kharif,127.91,785.6,30.1,6.13,191.2,0.83,8.925
Haryana,Rohtak,Cotton,Kharif,431.7,585.8,18.2,7.38,233.3,1.2,4.946
Karnataka,Mysuru,Soybean,Kharif,257.76,879.7,23.9,6.43,120.3,0.15,5.685
Assam,Kamrup,Barley,Rabi,255.66,2174.8,26.8,6.02,58.5,1.03,6.119
Andhra Pradesh,Kurnool,Maize,Kharif,114.94,750.5,22.5,6.86,140.2,2.81,8.18
Gujarat,Rajkot,Barley,Rabi,9.08,801.8,23.8,7.16,158.5,9.94,7.095
Gujarat,Ahmedabad,Soybean,Kharif,287.72,806.2,29.1,7.44,170.7,7.98,5.703
Uttar Pradesh,Agra,Sugarcane,Whole Year,213.71,1035.7,32.6,6.8,88.0,8.94,13.0
Andhra Pradesh,Kurnool,Soybean,Kharif,362.51,656.8,28.6,7.12,137.7,9.93,4.986
Maharashtra,Nashik,Soybean,Kharif,167.02,690.0,30.3,7.25,129.8,8.76,4.76
Tamil Nadu,Madurai,Wheat,Rabi,188.22,1039.1,29.5,6.23,158.3,2.59,8.548
Andhra Pradesh,Guntur,Mustard,Rabi,24.59,1176.9,31.3,7.17,135.3,3.96,4.835
Maharashtra,Nashik,Mustard,Rabi,29.41,952.7,30.8,7.29,79.5,3.96,4.113
Gujarat,Ahmedabad,Rice,Kharif,1233.02,620.3,25.9,7.68,172.4,14.39,9.024
Maharashtra,Pune,Wheat,Rabi,19.8,820.6,34.8,7.57,165.1,5.04,8.039
Jharkhand,Hazaribag,Wheat,Rabi,19.77,1116.6,25.0,6.29,134.6,3.75,8.238
Uttar Pradesh,Kanpur,Wheat,Rabi,382.83,1020.8,35.8,6.86,109.3,12.49,7.652
Haryana,Rohtak,Soybean,Kharif,68.78,549.5,24.2,7.19,164.1,0.1,4.905
Rajasthan,Jodhpur,Mustard,Rabi,145.22,483.3,32.5,8.97,116.3,7.43,3.236
Andhra Pradesh,Guntur,Cotton,Kharif,31.63,771.2,26.0,6.33,132.9,2.01,4.598
Madhya Pradesh,Indore,Soybean,Kharif,342.36,933.3,13.2,6.95,79.1,1.66,4.403
Tamil Nadu,Coimbatore,Chickpea,Rabi,448.5,804.4,25.0,6.31,147.9,1.83,3.477
Odisha,Cuttack,Rice,Kharif,115.14,1663.2,31.0,4.2,149.2,0.1,10.492
Bihar,Gaya,Maize,Kharif,183.18,1352.8,33.7,7.24,108.6,2.74,9.203
Jharkhand,Hazaribag,Wheat,Rabi,252.48,1350.2,17.2,6.85,115.6,0.94,8.616
Gujarat,Rajkot,Rice,Kharif,204.19,719.1,40.3,7.32,108.5,1.62,7.689
Rajasthan,Jaipur,Soybean,Kharif,418.64,363.2,18.1,7.19,160.0,2.59,4.711
Karnataka,Dharwad,Wheat,Rabi,3.83,796.6,28.4,5.72,143.5,0.76,7.422
Karnataka,Dharwad,Sugarcane,Whole Year,148.64,935.9,27.0,7.2,187.4,4.22,13.0
Andhra Pradesh,Guntur,Chickpea,Rabi,15.36,967.9,31.0,7.46,92.1,0.1,2.755
Uttar Pradesh,Kanpur,Maize,Kharif,526.95,831.6,36.1,6.69,147.1,7.19,8.584
Maharashtra,Nashik,Cotton,Kharif,74.08,1198.8,32.9,7.06,194.5,1.62,6.135
Madhya Pradesh,Indore,Sugarcane,Whole Year,31.38,1124.0,26.2,7.07,94.2,9.72,13.0
Punjab,Patiala,Wheat,Rabi,34.21,562.5,27.1,7.27,174.6,1.13,7.066
Rajasthan,Bikaner,Chickpea,Rabi,69.93,315.9,36.8,8.47,72.1,0.44,1.147
Madhya Pradesh,Indore,Wheat,Rabi,138.35,670.4,27.8,6.87,99.2,1.28,6.756
Rajasthan,Jodhpur,Maize,Kharif,456.52,243.2,21.5,8.8,57.5,0.77,4.254
Gujarat,Rajkot,Mustard,Rabi,251.66,578.6,33.7,7.51,176.7,0.21,4.564
Andhra Pradesh,Krishna,Rice,Kharif,142.34,719.2,22.6,6.37,130.4,9.21,8.037
Bihar,Patna,Cotton,Kharif,211.4,1029.1,22.8,7.31,98.9,0.74,4.358
Jharkhand,Dhanbad,Rice,Kharif,41.42,1115.1,29.1,5.73,157.8,4.2,10.08
Madhya Pradesh,Bhopal,Mustard,Rabi,340.07,907.7,31.7,6.91,156.6,1.7,5.227
Maharashtra,Nashik,Maize,Kharif,284.25,1006.4,30.9,6.62,177.4,1.72,9.837
Andhra Pradesh,Kurnool,Maize,Kharif,62.49,996.7,25.5,6.33,130.3,5.3,8.852
Tamil Nadu,Thanjavur,Barley,Rabi,228.98,1370.9,30.6,6.23,152.1,2.06,7.425
Assam,Nagaon,Cotton,Kharif,29.15,2404.6,22.2,5.64,87.5,6.16,5.472
Assam,Nagaon,Soybean,Kharif,335.88,1761.5,24.7,5.65,102.4,2.4,7.018
Odisha,Cuttack,Chickpea,Rabi,140.19,869.6,34.0,5.85,71.7,6.02,2.758
Haryana,Karnal,Maize,Kharif,11.65,449.9,33.4,8.01,210.0,2.88,8.156
Haryana,Hisar,Sugarcane,Whole Year,380.08,669.3,28.6,7.62,224.7,4.22,13.0
Uttar Pradesh,Agra,Sugarcane,Whole Year,303.76,880.4,12.0,7.02,190.2,1.09,13.0
Rajasthan,Bikaner,Soybean,Kharif,262.18,310.3,27.7,8.42,87.2,3.94,3.444
Assam,Kamrup,Rice,Kharif,329.65,1823.5,27.5,5.82,120.2,5.21,11.265
Punjab,Patiala,Maize,Kharif,197.89,601.1,35.0,7.47,190.6,2.59,8.275
Andhra Pradesh,Krishna,Mustard,Rabi,32.08,786.9,31.5,7.27,108.7,4.11,4.503
Odisha,Cuttack,Groundnut,Kharif,112.28,1572.6,26.3,6.1,106.6,1.81,6.259
Tamil Nadu,Thanjavur,Groundnut,Kharif,211.93,856.6,30.5,6.31,138.8,0.4,5.542
Odisha,Sambalpur,Rice,Kharif,105.13,1139.4,29.5,6.18,125.8,0.7,9.674
Andhra Pradesh,Guntur,Soybean,Kharif,12.27,919.8,26.4,7.1,176.7,1.45,5.902
Assam,Jorhat,Sugarcane,Whole Year,121.34,2091.4,29.4,5.78,71.1,7.89,13.0
Tamil Nadu,Madurai,Groundnut,Kharif,315.36,986.2,28.0,6.64,156.1,1.68,6.818
Madhya Pradesh,Jabalpur,Rice,Kharif,140.81,1086.7,39.2,6.34,176.9,5.04,10.254
Madhya Pradesh,Jabalpur,Mustard,Rabi,127.27,608.2,20.5,6.81,134.9,0.73,4.76
Punjab,Ludhiana,Groundnut,Kharif,392.98,626.2,25.9,6.78,274.4,0.1,6.825
West Bengal,Murshidabad,Rice,Kharif,5.64,1611.8,29.8,6.19,78.0,1.45,10.769
Jharkhand,Dhanbad,Groundnut,Kharif,63.36,1738.4,30.4,4.78,56.0,3.51,5.708
Uttar Pradesh,Agra,Wheat,Rabi,104.91,845.7,23.2,7.17,103.6,3.72,7.416
Bihar,Muzaffarpur,Sugarcane,Whole Year,607.46,1162.5,19.0,6.34,74.0,5.49,13.0
Madhya Pradesh,Indore,Sugarcane,Whole Year,337.03,1261.5,37.0,6.82,174.0,1.31,13.0
Assam,Kamrup,Cotton,Kharif,66.5,2324.8,28.5,5.26,64.3,3.72,5.546
Maharashtra,Nagpur,Chickpea,Rabi,40.5,508.1,26.8,6.73,143.4,1.59,3.278
Tamil Nadu,Coimbatore,Groundnut,Kharif,112.32,1260.7,31.1,6.29,155.6,6.54,7.029
Jharkhand,Dhanbad,Wheat,Rabi,1368.72,1044.4,21.3,6.21,92.2,5.21,8.026
Andhra Pradesh,Kurnool,Barley,Rabi,415.34,918.5,25.5,6.36,146.4,17.75,6.849
Odisha,Puri,Maize,Kharif,16.62,1456.0,27.9,6.79,101.8,5.43,9.526
Maharashtra,Nagpur,Chickpea,Rabi,34.8,999.2,29.3,7.62,131.1,0.1,2.883
Jharkhand,Hazaribag,Rice,Kharif,331.87,1699.8,29.3,5.2,82.5,8.26,10.059
